applicant_id,name,email,phone,nationality,age,employment_status,years_employed,monthly_income,monthly_expenses,family_size,dependents,housing_type,total_assets,total_liabilities,net_worth,credit_score,label
5ca5126e-8b36-457f-bec8-d3040b26658f,Patricia Love,richardwalker@example.org,001-559-949-0544x67116,Emirati,23,part_time,18,1058.43,627.33,8,0,rented,464549.31,263616.56,200932.75,614,APPROVE
16565c75-9c1e-4075-b806-3f1c3380596f,Kendra Mccoy,heather56@example.net,899-710-3291x0728,Expat,31,self_employed,19,11779.84,9684.67,2,1,rented,266353.08,37728.15,228624.93000000002,786,DECLINE
4a585eae-7ce2-458a-9d0f-ce771c6c30b1,Catherine Price,gina38@example.com,001-880-813-7813x6332,Emirati,39,unemployed,0,598.49,358.09,5,0,government,335843.48,112026.15,223817.33,829,APPROVE
b68754a3-cd55-4bea-9706-9bcf7a8b2aec,Judy Kennedy,jeremystephens@example.com,537.547.1394,Emirati,50,employed,10,10061.28,11312.26,4,0,rented,3595.42,212352.28,-208756.86,360,APPROVE
53be0e43-dd27-4674-acb6-0862a3f979b7,James Curtis,jenniferlarson@example.net,739-845-5688x577,Emirati,24,unemployed,0,1003.47,1049.63,5,3,rented,107118.4,39693.55,67424.84999999999,784,APPROVE
8fbf7f44-eba5-4aad-8b3b-19b3d7ad04fb,Dawn Kirby MD,cwood@example.org,683-996-8782,Emirati,33,employed,10,7251.57,5236.34,7,0,owned,205551.14,259151.02,-53599.879999999976,355,APPROVE
523dbddf-f4d8-4a47-b086-fe0e1841a0ae,Carolyn Johnson,amcdowell@example.org,001-929-896-6296x41381,Emirati,21,unemployed,0,804.43,606.95,4,0,rented,70091.15,55046.41,15044.73999999999,773,APPROVE
23c093f0-ae63-46ba-953e-5fefe059caaf,Miranda Rodriguez,christinamyers@example.net,2568207409,Emirati,42,employed,1,14116.4,15411.16,2,0,government,424347.87,49893.33,374454.54,797,DECLINE
2516b87a-e467-46ce-bdc2-bdbab88cc21b,Victor Morrison,alicia25@example.net,988-312-8388,Emirati,55,employed,6,6182.44,3412.2,7,2,government,392035.3,136502.51,255532.78999999998,733,DECLINE
15ff7cd9-1262-44d3-a9d7-55138863735d,Jean Torres,aaron47@example.net,(757)748-3932x301,Emirati,22,employed,2,3685.98,4307.52,6,0,rented,292088.8,150855.11,141233.69,843,DECLINE
1a7a36f0-7aa5-467b-8c66-4727b1209c73,Harry Carr,qcarroll@example.com,924-542-2936,Expat,34,employed,18,7845.31,7263.96,4,3,owned,470798.06,170902.62,299895.44,340,DECLINE
b8f573fa-3604-4cda-94aa-5f688d332295,Danny Lamb,aaron30@example.org,(952)763-6718x3816,Emirati,18,unemployed,0,358.03,409.31,6,2,government,197892.92,201507.07,-3614.149999999994,607,APPROVE
cdc41c99-e5d7-41fd-9aff-d056b761de51,Shannon Moran,matthewbrown@example.com,001-965-279-2818x93098,Expat,52,self_employed,5,2732.61,1900.86,2,0,owned,106577.16,79560.12,27017.040000000008,657,DECLINE
2680e53d-fdfd-4b21-a2df-452cc4e2d3a0,Breanna Torres,briana28@example.org,+1-483-741-5619x552,Emirati,35,part_time,3,3003.59,1478.8,1,1,rented,277301.14,279526.81,-2225.6699999999837,406,DECLINE
17839cd7-d679-4714-a5a9-f063d8bb4e22,Joseph Burns,davisdavid@example.net,+1-528-319-2590x708,Emirati,58,part_time,1,3152.84,3544.64,4,2,government,101798.66,190271.39,-88472.73000000001,570,APPROVE
44487a03-064e-4d54-9843-52780998683f,Anthony Woodward,barkertimothy@example.com,001-808-224-4466,Emirati,25,self_employed,13,2440.87,1839.12,5,5,rented,166778.27,39245.9,127532.37,568,APPROVE
ffbb047b-131c-4e93-8603-75e29d018bc7,Robert Moore,jenniferboyle@example.com,(832)611-8320x91421,Emirati,40,employed,11,9547.08,4138.31,3,1,government,417297.51,174752.87,242544.64,451,DECLINE
efa12e99-ac3c-44cd-88f2-91a7f4842472,Pamela Moore,albert21@example.org,944.284.4625x59468,Emirati,44,unemployed,0,1000.4,1092.12,4,1,rented,176839.32,167965.06,8874.26000000001,716,APPROVE
b0802304-7240-437e-a425-0998435aac78,Joseph Kane,davisfrank@example.org,+1-275-767-6832x1951,Expat,20,employed,3,11838.77,12192.74,3,1,family,166092.73,279244.77,-113152.04000000001,554,DECLINE
47e8adff-c7a6-436f-a518-ba742d9dac32,Angela Clark,nathan94@example.com,225-584-0970,Expat,35,self_employed,12,3995.73,3708.14,4,0,rented,459225.95,104897.53,354328.42000000004,533,DECLINE
bfca8dfd-83f7-41da-a489-1793ba9576fb,Heidi Nguyen,mmarshall@example.org,+1-575-868-9953,Emirati,55,employed,8,7213.75,3551.14,5,0,family,254702.84,203855.44,50847.399999999994,849,DECLINE
adfe54bc-464f-49a8-8b34-3ece045f603b,Justin Boyd,isaac46@example.org,4165903823,Emirati,34,part_time,18,1325.21,938.46,1,0,government,217281.88,218563.52,-1281.6399999999849,621,APPROVE
0ed1c37e-420d-4daa-829f-cacb09bf78ee,Emily Gilmore,brianwagner@example.net,(939)406-0798x059,Expat,60,employed,10,3020.3,1377.19,7,6,family,462787.58,161535.6,301251.98,501,DECLINE
7cc86c50-bc53-4b44-8516-5a0bda161311,Victoria Chavez,tweber@example.net,261-956-5327x5727,Emirati,57,employed,12,9085.47,6690.15,5,1,rented,333446.45,97854.87,235591.58000000002,602,DECLINE
304348a2-8a6b-4ded-bc9b-4813de77ebef,Richard Chavez,aguilareric@example.org,204-742-2351x294,Expat,65,part_time,6,2643.81,1991.92,7,7,family,202.97,86074.12,-85871.15,740,APPROVE
e7c19817-aab6-42f2-8d36-f101aa1ec6b5,Christine Nguyen,torresrichard@example.net,(513)411-7429x780,Emirati,27,unemployed,0,425.68,275.98,2,2,rented,331926.92,185778.24,146148.68,395,APPROVE
7e158d40-9247-4a22-a523-4ea777074a2c,Catherine Porter,garymitchell@example.com,(651)647-6866,Emirati,63,employed,18,5938.11,6584.83,1,1,government,237568.17,254921.31,-17353.139999999985,374,APPROVE
6533585b-8acc-4da8-a62a-00ae7ee78777,Gary Fisher,leslieallen@example.net,+1-568-725-3674x59026,Expat,21,self_employed,16,5996.53,3242.38,8,3,government,73785.67,206286.72,-132501.05,409,APPROVE
5cab9229-98b8-44ec-8dbf-e72ecc271e3a,Kevin Williams,ruth27@example.org,680-817-1653x644,Expat,53,unemployed,0,684.69,720.3,2,2,government,400708.3,200273.32,200434.97999999998,624,APPROVE
b158f976-9e94-424d-a0dd-db019b9cfb16,Michele Gates,msoto@example.net,001-426-408-4373x708,Expat,22,self_employed,8,9436.55,8506.09,3,3,family,237337.22,77757.46,159579.76,553,DECLINE
7b249fd6-362e-4e5c-bed6-e2d7eb3a7b4a,Alexis Nguyen,washingtonangela@example.org,866.550.9767x17714,Emirati,22,part_time,4,1815.15,1282.27,4,1,rented,159854.78,162045.67,-2190.890000000014,441,APPROVE
c31f074c-f7fa-49dd-86eb-d6f17a176e4e,Donna Hoffman,clarkbarry@example.com,(440)695-3671,Expat,48,self_employed,18,5308.81,5762.11,7,0,government,232962.15,18679.71,214282.44,730,DECLINE
76f71364-4e44-4d00-89d8-6a7951607248,Teresa Robinson,robertsmelissa@example.com,378-339-3674x51291,Expat,19,employed,13,6583.35,3788.96,6,3,rented,194993.32,267492.46,-72499.14000000001,729,APPROVE
75368bf4-edad-4473-9151-790a3d54cd68,Debra Bailey,youngsarah@example.com,6213419584,Emirati,23,self_employed,12,8688.74,7188.19,6,4,rented,399071.16,217254.41,181816.74999999997,778,DECLINE
bde8e94a-e7a3-4054-8897-1cbe4d7c6ae7,Karen Solomon,ecook@example.net,842.349.0519,Expat,44,self_employed,12,10668.51,7056.97,3,3,rented,90864.51,78046.89,12817.619999999995,635,DECLINE
72ee8137-da42-4807-a7e0-56bd8e83df1b,Cesar Davis,juliajohnston@example.net,(882)822-7281,Emirati,19,part_time,20,2410.92,1096.71,2,2,rented,374512.13,15625.68,358886.45,658,DECLINE
e81beb4d-8bd9-4d1c-8c42-b1bf4135f8c6,Hayden Williams,vasquezalexander@example.org,675-651-5492,Expat,62,unemployed,0,1258.84,1458.0,4,4,owned,310667.83,71563.48,239104.35000000003,784,APPROVE
ceaa7f4d-5be9-4f27-99ff-36da6d8b09a1,Mary Blair,davismark@example.com,914.336.9710,Expat,54,part_time,0,1503.37,731.36,6,2,rented,303623.75,224377.7,79246.04999999999,417,APPROVE
eb063491-999a-400d-83de-23d5eb201101,Greg Taylor,jasonhart@example.com,(912)588-7131,Emirati,54,self_employed,19,11414.71,12330.56,7,4,owned,99164.89,177629.36,-78464.46999999999,548,APPROVE
f11b9a67-1455-489c-a89d-0299eb1a8c54,Margaret Graham,jonesregina@example.org,292.614.5230x7751,Emirati,45,employed,15,9392.94,6913.65,6,6,owned,330760.67,20687.02,310073.64999999997,649,DECLINE
301b5316-80f6-403c-9251-4478bf2d9c4f,Christopher Pena,andersonlinda@example.com,726-542-9706,Expat,38,part_time,18,3121.93,2336.64,8,7,government,217743.57,220138.59,-2395.0199999999895,576,DECLINE
8fb4f233-6ae1-4d3d-9ec0-244b3d38ec0f,Mary Waters,vmartin@example.com,001-538-629-7426x35885,Expat,29,unemployed,0,418.39,332.81,2,0,family,225401.0,225142.88,258.11999999999534,688,APPROVE
62278a29-417c-404f-b3e9-4cecfc56caa3,Matthew Delgado,kevin11@example.net,679-401-2042x434,Emirati,64,self_employed,2,5548.25,6427.37,4,4,owned,129176.2,83897.55,45278.649999999994,582,DECLINE
423b7635-2757-4bf1-9083-7e71788281a8,Jose Smith,tracey74@example.net,(965)580-5636x0383,Expat,62,self_employed,7,7551.76,3582.88,8,0,government,120161.97,142827.93,-22665.959999999992,802,DECLINE
2411f59d-d6d6-4b11-ac51-1be1e36ad5e3,Jessica Rush,brittney58@example.net,+1-820-648-8779x38034,Expat,62,unemployed,0,995.94,836.9,5,5,government,184510.23,166041.89,18468.339999999997,652,APPROVE
a7ab2b2a-a2e7-4d46-b424-914c36f9dc49,Brett Hamilton,cramirez@example.com,+1-251-353-1535x002,Emirati,31,self_employed,5,5066.23,4198.34,5,5,owned,115269.02,216385.3,-101116.27999999998,623,DECLINE
6a41551e-114c-46d2-bef5-b275e10b98da,Audrey Casey,qknight@example.net,(535)969-6059x287,Emirati,37,self_employed,11,9245.85,5889.58,5,1,owned,488303.51,157391.06,330912.45,589,DECLINE
0acbdb7f-a4a2-43e2-8643-11b9aab92443,Cassandra Stuart,qmartin@example.com,7359039697,Expat,48,employed,18,6291.74,6909.44,3,0,government,487147.47,166007.69,321139.77999999997,429,DECLINE
c32b4b64-0b61-4ea2-820b-60e5f01d3193,Douglas Thomas,suzannewall@example.com,+1-679-984-3174x77613,Emirati,27,self_employed,2,5407.06,3896.14,8,1,owned,482748.82,75743.52,407005.3,789,DECLINE
868dadb2-fd31-4827-b07b-1ed2564ae094,Valerie Wilkerson,hgray@example.org,2146720310,Expat,37,unemployed,0,127.77,89.99,5,4,rented,124095.48,167421.91,-43326.43000000001,726,APPROVE
d605266d-ffd9-42ed-9a90-a98d4c3458f2,Darryl Cuevas,lflores@example.net,891-464-4227x177,Emirati,33,self_employed,2,7686.29,4372.12,5,5,rented,30115.15,288032.63,-257917.48,401,APPROVE
394a43c9-ddc3-4843-a7fe-ec55236267e4,Debra Alvarez,dgarcia@example.org,7234256978,Expat,62,unemployed,0,234.8,137.4,2,0,family,204258.79,206811.34,-2552.5499999999884,781,APPROVE
987ba2a4-1eef-4ae0-b3c0-91e0a101a04b,Alisha Francis,ibarrajeffrey@example.net,(830)670-6080,Emirati,35,self_employed,20,8873.85,7415.43,2,0,government,461955.52,236348.41,225607.11000000002,502,DECLINE
c6dc4059-75b0-4f96-abe3-a13dcaae039b,Mrs. Nicole Meyer,ellismary@example.com,(253)333-0167x4057,Expat,62,unemployed,0,89.46,69.33,2,0,government,396314.28,178513.21,217801.07000000004,595,APPROVE
451f197d-fe4c-4e56-91b1-d89cfb5a191e,Felicia Moran,jessicawilliams@example.net,547-864-2166,Emirati,23,self_employed,8,7004.72,4608.11,5,5,government,246897.61,24132.56,222765.05,340,DECLINE
320eab76-846a-47f6-9a5f-3f968b852121,Janet Bradley,catherineellison@example.com,409.801.7252x19467,Expat,35,unemployed,0,1499.36,1222.23,1,1,rented,336140.79,80853.31,255287.47999999998,341,APPROVE
9305fb25-293d-4e61-adfc-7223948dd925,Angela Norris,howardsarah@example.net,725-686-6912x961,Emirati,28,unemployed,0,952.18,625.44,7,5,government,245862.9,27372.72,218490.18,656,APPROVE
ff8f6681-8ba3-466c-999f-600bf9fe371e,Laura Larson,dunnpaul@example.com,+1-827-255-8829x281,Emirati,43,part_time,10,3081.02,2007.63,7,1,government,144108.9,283558.06,-139449.16,337,APPROVE
dcde3673-fdeb-4e3a-bf71-3e440e9d6093,Kathleen Simpson,xobrien@example.net,001-400-350-7458x035,Emirati,36,employed,17,7958.97,4479.68,8,0,government,93791.27,108533.81,-14742.539999999994,810,DECLINE
012f5017-441c-424a-94bd-8ea542b490f1,Linda Villanueva MD,markmolina@example.org,(821)401-8338,Expat,23,self_employed,17,3214.26,2702.14,8,4,rented,486573.41,182661.5,303911.91,545,DECLINE
3ed26946-f631-4272-8675-3a75dd07e32c,Katie Rivera,woodsrichard@example.com,001-711-874-5015x8546,Expat,48,unemployed,0,692.17,667.48,2,2,family,58733.07,249642.95,-190909.88,810,APPROVE
9d295bc6-9a88-4b92-8fb4-67e5046d5120,Shannon Crawford,joelalvarez@example.org,524.335.1411x481,Expat,50,self_employed,13,6567.86,4078.63,4,0,rented,72320.98,57183.11,15137.869999999995,820,DECLINE
d82654f9-21ad-42e6-9124-758694bcfa44,Susan Cole,gibsonlaura@example.org,+1-728-407-8717x898,Expat,53,part_time,11,1848.52,1535.87,1,1,rented,149277.92,176081.32,-26803.399999999994,801,APPROVE
19b8e512-f64e-4e14-92e0-a1d7e8b81213,Todd Brown,tboyd@example.net,001-622-872-1469x465,Emirati,38,self_employed,13,11328.52,12289.3,8,3,government,434800.84,294232.39,140568.45,544,DECLINE
b1266c18-1778-447d-ac76-6d3ad35b9a1a,Jeffrey Howard,daymelissa@example.net,(965)934-9311x4068,Expat,24,self_employed,18,5860.79,2936.24,7,0,government,331844.41,246224.27,85620.13999999998,455,DECLINE
ef1c551b-067d-4b52-9c30-c28d9fff8bdc,Walter Odonnell,carrollteresa@example.org,001-654-305-6513x86334,Expat,57,self_employed,8,7259.51,5630.42,2,0,rented,228464.04,216733.15,11730.890000000014,719,DECLINE
ef05b316-34ad-4ba3-8dae-83e6a8716ddc,Darryl Perez,leachbrett@example.com,495.819.9082x039,Emirati,57,self_employed,15,10517.65,10254.43,2,2,family,426170.67,257802.66,168368.00999999998,689,DECLINE
dbc04990-d94f-4cea-969e-62a279390d17,Sean Beard,beth61@example.com,(352)340-3511x808,Expat,28,employed,3,10573.93,10661.65,4,0,government,460464.55,299227.78,161236.76999999996,392,APPROVE
1a230872-2f7c-4a5c-b97d-28bf3900190b,Jerry Stephens,travis44@example.org,001-466-468-3245x602,Emirati,28,part_time,13,1137.97,677.5,1,0,government,398071.73,88010.33,310061.39999999997,683,DECLINE
5b370a39-b62d-46e4-bb65-9c74a12f6717,Duane Carey,mfisher@example.com,001-411-667-7080x745,Expat,47,unemployed,0,914.24,702.98,2,0,rented,191272.15,204940.37,-13668.220000000001,809,APPROVE
e68fa8eb-b130-46d2-a80f-464069d4fb42,Brandon Kerr,gonzaleskevin@example.net,891.756.4188x765,Expat,58,part_time,18,3696.73,4274.12,1,1,owned,232626.63,86289.5,146337.13,461,DECLINE
43021e64-539f-4547-a336-8e9bb45aeeef,Jordan Clark,melissawalker@example.net,+1-880-700-7455,Expat,62,self_employed,11,6568.36,4631.29,5,1,owned,151060.84,299812.07,-148751.23,794,DECLINE
cdcde128-6489-40e5-bd04-5713b442b6ee,Christopher Patton,cory73@example.org,706-482-9507x98699,Expat,32,part_time,7,3933.83,4014.84,1,1,government,329114.91,82344.11,246770.8,350,DECLINE
22953eb7-d0b0-40b6-a3a0-25f45bfaea18,Dr. Karen Arnold DVM,erinolson@example.net,814.791.7502,Expat,46,unemployed,0,1016.65,932.34,5,5,owned,360464.19,197754.46,162709.73,440,APPROVE
83e9c2d6-7968-4d3f-873b-7ed5958aaee1,Lance Brown,theresa74@example.com,601-256-8032,Expat,51,employed,17,11788.32,5961.68,6,1,rented,45066.69,88533.14,-43466.45,725,DECLINE
0f18b019-4dec-4392-8db2-85b590346593,Angela Coleman,dawsonjenny@example.org,001-650-626-6804x4585,Emirati,32,part_time,2,1770.91,1371.86,3,0,family,412344.91,144554.35,267790.55999999994,602,DECLINE
aaaff109-9dc8-4b16-bbd8-56eeb72c94d6,Jeffrey Mcdaniel,rogersnathan@example.com,936.618.8493x92600,Expat,58,self_employed,8,2903.03,2723.8,6,2,government,197287.28,79337.57,117949.70999999999,426,APPROVE
06dfb434-0701-469c-a4c4-55dcb53d5e5e,Mary Shaw,daymelanie@example.com,448.635.5131,Expat,59,part_time,14,3024.51,1362.76,2,2,rented,235738.43,185864.06,49874.369999999995,635,DECLINE
2ae88c89-d454-4532-bc48-9ad61b564ff8,William Lozano,austin97@example.net,(578)950-6746,Emirati,42,self_employed,17,3397.77,1997.35,2,0,owned,473130.77,91309.38,381821.39,804,DECLINE
e65de459-9bad-4d8c-9a1c-ad0f5baf2c44,Yvette Mitchell,steven98@example.org,933-535-1193,Expat,35,self_employed,15,8704.86,8042.75,6,3,rented,371570.06,283792.23,87777.83000000002,729,DECLINE
7fc35d65-e649-4828-9212-8206c89a21fd,Adam Martinez,kelly59@example.net,001-412-895-2057x979,Expat,21,employed,20,5607.24,3890.68,6,5,owned,222347.93,70833.79,151514.14,671,DECLINE
961a0737-ccb7-40b0-94a8-7b434a869310,Kristi Evans,robertsmith@example.com,(994)369-6919,Emirati,21,self_employed,20,3898.09,2220.68,5,5,owned,61079.86,254409.96,-193330.09999999998,765,DECLINE
6438daf9-a9ff-4bbd-8abb-22beb950df42,Jason Macias,cbarnett@example.org,(511)698-2451x797,Emirati,35,part_time,4,3966.46,2629.16,4,1,rented,393489.05,61561.67,331927.38,512,DECLINE
1bcf2fac-7e61-46c7-9684-d1aed52d4ead,Tracy Walter,smithfelicia@example.com,+1-602-608-2450x73660,Emirati,55,unemployed,0,810.32,556.36,3,0,rented,399256.91,32977.9,366279.00999999995,326,APPROVE
bc839ff7-6165-47af-aab9-4eefb4df59ab,Matthew Hodges,marissadixon@example.net,(453)914-0540x9709,Emirati,46,part_time,11,1522.74,1189.26,1,0,owned,26199.51,222515.42,-196315.91,838,DECLINE
d5c7c8c2-243f-4dc8-b2a5-240c4a87dcf0,Nathan Armstrong,yperez@example.org,001-381-562-9501x25396,Expat,43,unemployed,0,1090.86,489.43,1,0,government,454375.84,197670.92,256704.92,608,APPROVE
42f903c1-894b-452e-a2f2-3322d3df9a8e,David Wallace,wilsonbrittney@example.org,8239504378,Expat,57,self_employed,4,6902.69,3580.2,2,2,family,454850.41,22047.21,432803.19999999995,382,DECLINE
cc470ddd-ec63-4dd8-8edb-57b16d7fdc81,Jacob Perry,laurajordan@example.net,4437437053,Emirati,45,part_time,20,3983.88,4311.49,7,1,owned,265278.42,136114.63,129163.78999999998,740,DECLINE
f276dd02-1cdc-4432-a9b1-8f28ea19a68a,Ryan Harrington,christianwelch@example.com,775-768-9341,Expat,27,self_employed,8,6138.14,3989.91,4,3,family,413709.61,119619.06,294090.55,397,DECLINE
b37eea20-ce34-4e1f-ba99-3e6e094708c8,Renee Green,johnsondaniel@example.net,908-917-5742,Expat,60,self_employed,17,2912.25,1304.64,2,2,rented,42682.18,129562.96,-86880.78,681,APPROVE
813d7047-10d5-4edc-bee4-a0b822b272a9,Trevor Arnold,stacey71@example.org,271.901.6669x34749,Emirati,27,employed,18,7243.18,4934.9,7,4,family,332670.26,225085.28,107584.98000000001,352,DECLINE
d55d8461-fe53-419e-b0b5-0f0b48e3c86d,Johnathan Harris,lreed@example.org,(797)449-8848x3419,Emirati,56,self_employed,13,10472.75,6083.91,4,4,family,175057.0,166879.64,8177.359999999986,417,APPROVE
d482542c-7438-4b03-9113-6ffbd776e976,Kimberly Pratt,bruce22@example.com,443.565.4009x742,Expat,22,part_time,4,1541.25,840.17,1,0,family,351349.39,92695.41,258653.98,647,DECLINE
15766fb2-bfba-494d-8aab-0f9bf0cf669a,Kim George,debra06@example.com,210.652.3779x815,Expat,54,unemployed,0,137.64,95.8,1,0,family,265241.34,112858.32,152383.02000000002,764,APPROVE
0bc19a60-56f7-4366-82be-df3182c94a7d,Michael Wilson,allenmichael@example.org,+1-606-728-6574x8595,Expat,44,employed,15,4866.96,4524.09,1,1,family,377217.94,14928.75,362289.19,383,DECLINE
a0f84021-bce4-4668-8e7d-159bfb0b37c4,Andrew Cunningham,kaitlincook@example.net,435.433.8051,Emirati,43,part_time,1,3264.83,3048.39,4,4,government,56908.75,128974.09,-72065.34,590,DECLINE
44878fa1-6bbd-4104-bc13-b1d00cde0a29,Brian Chapman,chadgarcia@example.org,865-314-5727,Expat,29,employed,15,5453.08,2704.66,1,1,family,472662.04,230204.86,242457.18,561,DECLINE
6efbbc43-68f7-4de9-80b3-847e039c32f8,Megan Wright,wagnerchristopher@example.org,798.615.9138x3085,Emirati,45,unemployed,0,798.87,870.3,7,6,owned,115055.36,167617.07,-52561.71000000001,662,APPROVE
08a95ba4-936f-48fd-8d80-58faf4301fa0,Jason Porter,nhernandez@example.com,(395)852-4153x07362,Expat,28,employed,0,14053.95,6916.49,8,4,government,431055.01,172727.75,258327.26,714,DECLINE
a8e083cc-e6f5-42a7-acc4-d54a39d9e866,Brooke Chavez,jonesamy@example.org,641.237.3486,Emirati,39,self_employed,10,2881.3,3159.11,6,3,owned,422242.18,72994.94,349247.24,710,APPROVE
a88845c9-8201-414b-96e7-e190136533f1,Gordon Davis,victoria97@example.net,(211)662-3176,Emirati,33,unemployed,0,765.72,893.27,2,2,family,57013.32,152985.62,-95972.29999999999,657,APPROVE
bf40c2aa-4bdf-4005-a576-bcf739491231,Mr. Charles Leonard,danielle54@example.com,431.695.3148x9646,Expat,61,employed,18,6071.62,4682.21,3,3,rented,86749.51,45860.94,40888.56999999999,377,DECLINE
5e9e2ae8-714f-415b-a08d-4e0be0e26c30,Brian Harvey,cindy92@example.org,503-530-2472,Emirati,37,part_time,16,1452.87,646.44,6,4,family,34143.13,132662.42,-98519.29000000001,610,APPROVE
5e8ee009-a2b9-44b8-9ef9-48279fc5c54f,Cynthia Washington,hernandezsamantha@example.org,722-286-7930x2130,Expat,54,self_employed,1,2376.07,2053.55,8,7,government,184368.8,86123.11,98245.68999999999,392,APPROVE
8b7a2abf-dd7e-4852-b49f-78f97bf9fdfb,David Mckinney,nlewis@example.com,509.374.3050,Expat,63,unemployed,0,907.51,1015.78,6,6,owned,250683.65,287316.71,-36633.06000000003,761,APPROVE
28f4e009-4ece-4323-9ab9-ec781c28f98a,Kathryn Holmes,millerkimberly@example.com,537.586.4360,Expat,44,employed,9,3469.71,2422.83,3,2,rented,353810.85,297295.81,56515.03999999998,836,DECLINE
7554f2af-f60d-477f-bd92-4edb116d4cda,Meredith Jones MD,morganphilip@example.com,(431)647-4832x712,Emirati,39,part_time,19,3367.68,2025.98,1,1,government,323652.68,19773.56,303879.12,396,DECLINE
a276c1c2-5465-47e4-8282-62f33b1f1f99,Charles Hernandez,brucewilliams@example.org,001-558-955-3795x1837,Expat,26,employed,12,14000.96,9067.94,3,0,rented,155115.87,196816.42,-41700.55000000002,701,DECLINE
2516275b-3c4a-4da3-904c-1bc1ff48a1ab,Debra Bryant,denise60@example.org,488.400.1893,Emirati,22,employed,4,9101.86,5038.83,7,7,family,9115.27,92659.82,-83544.55,519,DECLINE
6f126a1c-9543-432f-8683-2f28fd495e27,David Moore,peckryan@example.com,639.885.2774x21689,Emirati,56,part_time,19,2523.07,1688.97,2,2,owned,269885.38,221593.2,48292.17999999999,839,DECLINE
d3b8cc2c-5e7e-49bd-a760-7fa848f50860,Douglas Santos,pjohnson@example.org,454.852.6076,Expat,57,self_employed,7,3622.47,2639.65,3,0,government,415672.53,231329.34,184343.19000000003,469,DECLINE
9fbab8ee-71c9-445a-bcec-87201357f14d,Jerome Johnson,shawn39@example.net,001-459-543-1918x11724,Expat,47,part_time,18,1702.01,1604.39,8,5,rented,119584.25,289678.99,-170094.74,780,APPROVE
d1b2b6ce-78bc-4b40-bab6-89aceb14eab7,Alexander Green,tiffanygreen@example.org,9896808861,Expat,53,part_time,15,2508.72,1108.21,7,4,rented,209330.41,48617.45,160712.96000000002,504,APPROVE
e8041e7d-043c-4c65-9626-709b238d25f0,Jessica Lester,shannon89@example.net,+1-492-379-4558x5757,Expat,40,employed,7,6420.76,3039.4,2,1,rented,381558.42,81837.39,299721.02999999997,825,DECLINE
7fd8e403-d4e0-40ee-8361-aad608064d52,Troy Bird,rodgersroger@example.net,(993)239-8607,Expat,27,employed,3,3639.08,1537.69,7,3,family,251003.56,70733.42,180270.14,383,DECLINE
99804d17-2201-4f35-86a6-cac265ab6bfd,Wendy Anderson,watkinsshannon@example.com,(924)434-9221,Emirati,19,unemployed,0,430.32,383.97,1,1,government,414880.79,208821.6,206059.18999999997,442,APPROVE
